"#","Player","FG","FGA","FT","FTA","PTS","ORB","DRB","AST","STL","BLK","TO","PF","Value"
"1","Luka Doncic                             (DAL - PG)","9.8","21.4","6.3","8.6","28.9","1.1","7.2","8.6","1.1",".4","4.2","2.3","$82"
"2","Giannis Antetokounmpo                             (MIL - PF)","10.3","19.0","6.7","9.3","28.2","2.1","9.4","5.7","1.2","1.2","3.4","3.0","$81"
"3","Nikola Jokic                             (DEN - C)","9.8","18.4","4.5","5.4","25.6","2.9","7.8","8.0","1.3",".7","3.1","3.2","$81"
"4","Zion Williamson                             (NO - PF)                              (Day To Day)","10.6","17.6","6.1","8.9","27.5","2.9","4.5","4.1","1.0",".7","2.6","2.2","$77"
"5","Jayson Tatum                             (BOS - SF,PF)                              (Out)","9.2","20.1","4.4","5.2","25.5",".9","6.4","4.6","1.2",".6","2.6","2.2","$76"
"6","Karl-Anthony Towns                             (MIN - C)","9.4","17.8","4.7","5.6","25.1","2.8","7.9","4.1",".9","1.4","3.1","3.3","$75"
"7","James Harden                             (BKN - SG,PG)","7.3","16.3","7.1","8.2","24.5","1.0","6.8","10.5","1.4",".8","4.0","2.7","$74"
"8","Trae Young                             (ATL - PG)","8.1","18.7","6.8","7.9","25.5",".6","3.2","9.3",".8",".2","4.1","1.8","$74"
"9","Stephen Curry                             (GS - PG)                              (Out)","10.2","21.1","5.1","5.6","30.7",".7","4.5","5.8","1.2",".2","3.3","2.2","$73"
"10","Damian Lillard                             (POR - PG)","9.2","20.7","6.7","7.4","28.5",".6","3.7","7.2","1.0",".3","2.9","1.8","$73"
"11","Kevin Durant                             (BKN - SF,PF)","9.4","18.0","5.8","6.5","26.8",".5","6.5","5.4",".9","1.2","3.1","1.9","$69"
"12","LaMelo Ball                             (CHA - PG)","6.6","15.1","2.8","3.7","18.1","1.3","5.1","7.6","1.8",".4","3.2","3.0","$69"
"13","Shai Gilgeous-Alexander                             (OKC - SG,PG)","8.5","17.6","4.8","6.0","23.4",".7","3.9","4.9","1.0",".7","2.6","2.1","$69"
"14","Bradley Beal                             (WSH - SG)","10.7","22.9","5.4","6.5","29.9","1.1","3.9","5.5","1.2",".4","3.1","2.3","$69"
"15","Bam Adebayo                             (MIA - C,PF)                              (Out)","7.0","12.6","4.4","5.9","18.5","2.4","6.8","5.0","1.2","1.1","2.7","2.9","$66"
"16","De'Aaron Fox                             (SAC - PG)","8.8","19.1","4.9","6.9","23.9",".5","2.8","7.1","1.5",".5","3.0","2.9","$62"
"17","Joel Embiid                             (PHI - C)","8.7","17.8","7.7","9.5","26.2","2.5","9.5","3.0",".9","1.4","3.2","3.3","$59"
