"","namePlayer","pred_gmsc_22","Value_ESPN","Value_DYN","Price","Value_Mean","isPG","isSG_SF","isPF_C"
"1","Giannis Antetokounmpo",1496.1293710002,67,81,81,77,0,0,1
"2","Luka Doncic",1407.27857604776,61,82,78,74,1,0,0
"3","Joel Embiid",1360.70251313244,43,59,66,56,0,0,1
"4","Stephen Curry",1355.53428804747,59,73,76,70,1,0,0
"5","Julius Randle",1354.27027378832,31,27,27,29,0,0,1
"6","Damian Lillard",1253.17664162025,52,73,75,67,1,0,0
"7","Russell Westbrook",1211.87902123173,21,12,29,21,1,0,0
"8","Bradley Beal",1201.09037136173,52,69,73,65,0,1,0
"9","Nikola Vucevic",1181.83252996084,45,23,55,41,0,0,1
"10","Karl-Anthony Towns",1155.68554702477,55,75,75,69,0,0,1
"11","Domantas Sabonis",1155.27678386892,43,53,48,48,0,0,1
"12","Nikola Jokic",1120.97393398868,64,81,82,76,0,0,1
"13","Jayson Tatum",1100.17301177097,49,76,73,66,0,1,1
"14","Trae Young",1094.44426429831,41,74,69,62,1,0,0
"15","Zion Williamson",1094.35267841355,22,77,72,57,0,0,1
"16","Zach LaVine",1087.28633383604,19,25,42,29,0,1,0
"17","Paul George",1077.16033427182,52,47,72,57,0,1,0
"18","Devin Booker",1056.51330771149,22,44,44,37,1,1,0
"19","James Harden",1027.94444703365,58,74,78,70,1,1,0
"20","Donovan Mitchell",976.989210455461,36,38,38,38,1,1,0
"21","LeBron James",976.346927001947,43,49,73,55,1,1,1
"22","Jonas Valanciunas",973.503930499337,7,5,5,6,0,0,1
"23","Jaylen Brown",957.472028121088,17,51,40,36,0,1,0
"24","Kevin Durant",946.56651452142,48,69,75,64,0,1,1
"25","Brandon Ingram",942.243474778918,12,40,17,23,0,1,1
"26","Bam Adebayo",927.935389291985,24,66,57,49,0,0,1
"27","Jimmy Butler",922.926940146599,32,34,59,42,0,1,0
"28","Shai Gilgeous-Alexander",920.784147660321,26,69,50,49,1,1,0
